7.1.1.1	Chapter 1: Studying Life
7.6.summary.39.6	Desert pupfish were held at 34&#x00B0;C, and rats were held at normal room temperature, 21&#x00B0;C.
7.6.summary.39.7	The same neuronal cells were removed from each animal and membranes isolated from these cells.
7.6.summary.39.8	This gave the researchers a set of cell membranes representing environmental temperatures ranging from 0&#x00B0;C to 37&#x00B0;C.
7.6.summary.40.1	The researchers then added a fluorescent molecule to each of the membranes and incubated them at 20&#x00B0;C.
7.6.summary.40.2	They measured fluorescence and plotted these data against the animal&#x0027;s body temperature, as shown in the graph at right.
7.6.summary.40.3	(Each point represents a single animal. )
7.6.summary.40.4	Fluorescence is inversely related to the movement of the molecules within the membranes.
7.6.summary.40.5	A higher value means less movement of the fluorescent probe and therefore a less fluid membrane.
7.6.summary.41.1	The table below shows the ratio of saturated to unsaturated fatty acids in the phospholipid phosphatidyl choline for various species in the study.
7.6.summary.41.2	Ratio of saturated to unsaturated fatty acids Arctic Desert sculpin 0&#x00B0;C Goldfish 5&#x00B0;C Goldfish 25&#x00B0;C pupfish 34&#x00B0;C Rat 37&#x00B0;C 0.593 0.659 0.817 0.990 1.218
7.6.summary.42.1	Questions
7.6.summary.43.1	1.
7.6.summary.43.2	What do the data in the graph indicate about the relative fluidity of cell membranes in different species when measured under the same temperature conditions?
7.6.summary.43.3	Is a trend apparent?
7.6.summary.43.4	Explain.
7.6.summary.44.1	2.
7.6.summary.44.2	Temperature affects membrane fluidity.
7.6.summary.44.3	According to the data, what else influences membrane fluidity?
7.6.summary.45.1	3.
7.6.summary.45.2	Considering your answer to Question 2, explain how and why this factor affects membrane fluidity.
7.6.summary.46.1	4.
7.6.summary.46.2	Suppose you isolated cell membranes from an animal and measured the fluorescence of a membrane probe in the same way that these researchers did.
7.6.summary.46.3	If the fluorescence was found to be 0.27, and assuming that the movement of the fluorescent probe is only affected by fatty acid saturation/unsaturation, what can you predict about the ratio of saturated to unsaturated fatty acids in ethanolamine phospholipids present in membranes of this animal?
7.6.summary.46.4	Express your answer to the hundredths place.
7.6.summary.47.1	Go to LaunchPad for the eBook, LearningCurve, animations, activities, flashcards, and additional resources and assignments.
7.6.summary.48.1	End of Chapter 6.
7.7.1.1	The green alga, Volvox, has thousands of cells, interacting with one another and specializing.
7.7.2.1	Key Concepts:
7.7.3.1	Signals and Signaling Affect Cell Function
7.7.4.1	Receptors Bind Signals to Initiate a Cellular Response
7.7.5.1	The Response to a Signal Spreads through the Cell
7.7.6.1	Cells Change in Response to Signals in Several Ways
7.7.7.1	Adjacent Cells in a Multicellular Organism Can Communicate Directly
7.7.8.1	investigatinglife
7.7.9.1	A Signal for Bonding
7.7.10.1	Prairie voles (Microtus ochrogaster) are small rodents that live in temperate climates, where they dig tunnels in fields.
7.7.10.2	When a male prairie vole encounters a female, the female enters her reproductive cycle and mating (which can take hours) often ensues.
7.7.10.3	After mating the pair stays together, building a nest and raising their pups.
7.7.10.4	The bond between the two voles is so strong that they stay together for life.
7.7.10.5	Contrast this behavior with that of the montane vole (M. montanus), which is closely related to the prairie vole and lives in the hills not far away.
7.7.10.6	In this species, mating is quick, and afterward the pair separates.
7.7.10.7	The male looks for new mates and the female abandons her young soon after they are born.
7.7.11.1	The reason for these dramatic behavioral differences lies in the brains of these two species.
7.7.11.2	When prairie voles mate, the brains of both males and females release specific peptides consisting of nine amino acids.
7.7.11.3	In females, the peptide is oxytocin; in males, it is vasopressin.
7.7.11.4	The peptides circulate in the bloodstream and reach all tissues in the body, but they bind to only a few cell types.
7.7.11.5	These cells have surface proteins called receptors, to which the peptides specifically bind, like a key inserting into a lock.
7.7.12.1	The binding of peptide to receptor causes the receptor, which extends across the cell membrane, to change shape.
7.7.12.2	Within the cytoplasm, this change sets off a series of events that ultimately result in changes in behavior.
7.7.12.3	The receptors for oxytocin and vasopressin in prairie voles are most concentrated in the regions of the brain that are responsible for behaviors such as bonding and caring for young.
7.7.12.4	In montane voles, there are far fewer receptors for these peptides, and as a result, fewer bonding and caring behaviors.
7.7.12.5	Clearly, oxytocin and vasopressin are signals that induce these behaviors.
7.7.13.1	Intercellular signaling is a hallmark of multicellular organisms.
7.7.13.2	A cell   s response to a signal molecule takes place in three sequential steps.
7.7.13.3	First, the signal binds to a receptor in the cell, often embedded in the outside surface of the cell membrane.
7.7.13.4	Second, signal binding conveys a message to the cell.
7.7.13.5	Third, the cell changes its activity in response to the signal.
7.7.13.6	In a multicellular organism, these steps lead to changes in that organism   s functioning, with signaling allowing different types of cells and tissues to work together.
7.7.14.1	Is oxytocin the &#8220;trust&#8221; signal in humans?
7.7.15.1	Chapter 7 continues with
7.7.16.1	7.1  Signals and Signaling Affect Cell Function
7.7.1.1.1	Cells receive several types of signals
7.7.1.2.1	A signal transduction pathway involves a signal, a receptor, and responses: Overview
7.7.1.3.1	Both prokaryotic and eukaryotic cells process information from their environments.
7.7.1.3.2	This information can be in the form of a physical stimulus, such as the light reaching your eyes as you read this book, or chemicals that bathe a cell, such as the carbohydrate lactose in the solution around bacteria.
7.7.1.3.3	A signal may come from outside the organism, such as the scent of a female moth seeking a mate in the dark, or from a neighboring cell within the organism, such as the liver, where signals from other organs cause liver cells to regulate their uptake or release of glucose.
7.7.1.4.1	focus your learning
7.7.1.5.1	Chemical signals that target cells can be classified according to signal source and mode of signal delivery.
7.7.1.6.1	A signal transduction pathway includes a signal, a receptor, and a response
7.7.1.7.1	Not all cells respond to a signal, because some lack the ability to receive the signal.
7.7.1.8.1	The presence of a signal does not always lead to a response; a cell does not respond to every signal, just as you are not paying close attention to every stimulus in your environment as you read this.
7.7.1.8.2	To respond to a signal, a cell must have a specific receptor that can detect it and a way to use that information to influence cellular processes.
7.7.1.8.3	A signal transduction pathway is a sequence of molecular events and chemical reactions that lead to a cell   s response to a signal.
7.7.1.8.4	Signal transduction pathways vary greatly in their details, but every such pathway involves a signal, a receptor, and a response.
7.7.1.8.5	This section will provide a brief overview of signal transduction.
7.7.1.8.6	We   ll consider receptors in Key Concept 7.2, and other aspects of signal transduction in Key Concepts 7.3 and 7.4.
7.7.0.0.1.1	Figure 7.1  Chemical Signaling Systems
7.7.0.0.2.1	The environment is full of signals.
7.7.0.0.2.2	For example, our sense organs allow us to respond to light (a physical signal), or odors and tastes (chemical signals).
7.7.0.0.2.3	Bacteria and protists can respond to small chemical changes in their surroundings.
7.7.0.0.2.4	Plants respond to light as a signal as well as an energy source, for example, by growing toward the source of light.
7.7.0.0.2.5	A cell that is deep inside a large multicellular organism and far away from the exterior environment receives signals from neighboring cells and the surrounding extracellular fluids.
7.7.0.0.2.6	In multicellular organisms, chemical signals are often made in one part of the body and arrive at target cells by local diffusion or by circulation in the blood or the plant vascular system.
7.7.0.0.2.7	Chemical cell signals are usually present in tiny concentrations (as low as 10   10 M) (see Chapter 2 for an explanation of molar concentrations) and differ in their sources and mode of delivery (Figure 7.1):
7.7.0.0.3.1	Autocrine signals diffuse to and affect the cells that make them.
7.7.0.0.3.2	For example, many tumor cells reproduce uncontrollably because they both make, and respond to, signals that stimulate cell division.
7.7.0.0.4.1	Juxtacrine signals affect only cells right next to and in contact with the cell producing the signal.
7.7.0.0.4.2	This type of signaling is especially common during development, when cells are in groups and changing to become specialized.
7.7.0.0.5.1	Paracrine signals diffuse to and affect nearby cells.
7.7.0.0.5.2	An example occurs in inflammation when the skin is cut.
7.7.0.0.5.3	Signals from skin cells are sent to nearby blood cells to aid in healing (see Key Concept 42. xx).
7.7.0.0.6.1	Signals that travel through the circulatory systems of animals or the vascular systems of plants are generally called hormones.
7.7.0.0.1.1	Figure 7.2 A Signal Transduction Pathway
7.7.0.0.2.1	As you saw in the opening story, the elements of a signal transduction pathway are a signal, a receptor, and a response (Figure 7.2).
7.7.0.0.2.2	For the information from a signal to be transmitted to a cell, the target cell must be able to receive the signal and respond to it.
7.7.0.0.2.3	This is the job of receptors.
7.7.0.0.2.4	All cells may be exposed to a chemical signal, but most cells in the organism may not be able to respond to it.
